"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.756291677E-3,-4.429590377E-1,-3.184767866E-1,-6.107981005E-1,8.189716065E-1
1.580329164E-2,-1.255882519E-1,-2.806160653E-1,-5.979427046E-1,6.723490634E-1
2.584929165E-2,8.453173488E-3,-1.312951344E-1,-6.040045130E-1,6.181677120E-1
3.589529166E-2,6.706493229E-2,-3.760987580E-2,-1.037094328E-1,1.291040447E-1
4.594229168E-2,1.511074014E-1,3.345601380E-1,6.577231756E-1,7.532354933E-1
5.598829163E-2,9.806453079E-2,6.170145679E-1,1.321357886E0,1.461612224E0
6.603429164E-2,1.847544730E-2,6.501179945E-1,1.476085153E0,1.613016468E0
7.608129166E-2,1.375696354E-1,5.111343563E-1,1.177711971E0,1.291196817E0
8.612729167E-2,3.037188528E-1,3.070466495E-1,5.830820060E-1,7.256083049E-1
9.617329168E-2,2.183345939E-1,2.947581410E-1,-6.472604603E-2,3.724806272E-1
1.062202916E-1,-1.874409762E-1,3.056784010E-1,-5.982397431E-1,6.974698521E-1
1.162662916E-1,-4.566748515E-1,2.817422390E-1,-7.316083002E-1,9.072934003E-1
1.263122917E-1,-6.009502199E-1,2.074820155E-1,-7.857748595E-1,1.010758173E0
1.363592917E-1,-7.223544967E-1,1.729015821E-1,-7.351347560E-1,1.045042624E0
1.464052916E-1,-6.810300310E-1,2.542158866E-1,-4.477096081E-1,8.537397222E-1
1.564512916E-1,-5.069595905E-1,3.549873859E-1,2.605238628E-1,6.714884613E-1
1.664982917E-1,-2.206725300E-1,6.673585099E-1,8.163189599E-1,1.077237388E0
1.765442917E-1,-2.156301105E-1,1.089668983E0,1.007915260E0,1.499922667E0
1.865902917E-1,-5.345027536E-1,1.226882669E0,8.967307466E-1,1.610919088E0
1.966372916E-1,-9.901794123E-1,4.998001134E-1,5.840035272E-1,1.253521257E0
2.066832916E-1,-6.963215232E-1,-2.676375854E-1,8.461178327E-1,1.128011049E0
2.167292917E-1,3.272633245E-1,-5.646200073E-1,7.457907218E-1,9.910100085E-1
2.267762917E-1,1.161276982E0,-4.670428419E-1,6.974123213E-1,1.432856305E0
2.368222916E-1,1.586664771E0,2.116516650E-2,6.089559352E-1,1.699641254E0
2.468682916E-1,1.529466285E0,8.401413935E-1,4.858451486E-1,1.811394542E0
2.569152917E-1,5.224046452E-1,8.607259315E-1,9.709018001E-1,1.398715857E0
2.669612917E-1,-4.441292848E-1,4.440574372E-1,2.001452801E0,2.097677560E0
2.770072917E-1,-7.220361889E-1,6.977657855E-2,1.724896458E0,1.871222279E0
2.870542916E-1,-7.030409241E-1,-1.738710505E-1,7.925362873E-1,1.073597434E0
2.971002916E-1,-3.794967212E-2,-2.639719659E-1,-7.907040623E-1,8.344664706E-1
3.071462917E-1,4.393852926E-1,-4.040268141E-1,-1.206320643E0,1.345922210E0
3.171932917E-1,5.306582093E-1,-1.391944304E0,-1.299571453E0,1.976864447E0
3.272392916E-1,1.804118555E-1,-1.692788227E0,-2.401545024E-1,1.719230818E0
3.372852916E-1,-3.503360720E-1,-1.021668203E0,1.421223944E0,1.785054279E0
3.473322917E-1,1.372026495E-1,-4.476862192E-1,3.609059376E-1,5.911857692E-1
3.573782917E-1,9.408549323E-1,5.386554462E-1,-5.582810408E-1,1.219440615E0
3.674242917E-1,4.771117107E-1,-3.251402736E-2,3.506592768E-1,5.930047849E-1
3.774712916E-1,1.260451022E-1,-7.266071767E-1,-1.436228192E-1,7.513140962E-1
3.875172916E-1,2.697532542E-1,-1.159686466E0,-5.757060358E-1,1.322526733E0
3.975632917E-1,1.000678600E-1,-1.208678532E0,1.051329374E-1,1.217362027E0
4.076102917E-1,-1.322270929E0,-7.954049313E-1,1.097461859E0,1.893539529E0
4.176562916E-1,-2.578750741E0,1.849357367E-1,5.215868390E-1,2.637462691E0
4.277032916E-1,-2.223243977E0,7.875012499E-1,-1.479765390E0,2.784363053E0
4.377492917E-1,-2.075619615E0,-6.805983603E-2,-3.142059803E0,3.766346869E0
4.477952917E-1,-6.148722942E-1,1.200911676E0,-3.618590629E0,3.861923735E0
4.578422916E-1,2.321169198E-1,1.101676240E0,-7.429863971E-1,1.348924604E0
4.678882916E-1,5.928197397E-1,3.965236670E-1,-1.069572687E-2,7.132886237E-1
4.779342916E-1,8.237927248E-1,4.031134790E-1,2.005516031E-1,9.388055581E-1
4.879812917E-1,1.886030738E-1,8.017327881E-1,-4.440200150E-1,9.356817603E-1
4.980272917E-1,-7.137192556E-1,1.394403058E0,-1.412941363E0,2.109539846E0
5.080732916E-1,-1.035701082E0,1.880364566E0,-3.823277968E-1,2.180509615E0
5.181202916E-1,-6.161457447E-1,1.541021991E0,6.269329074E-1,1.774099553E0
5.281662917E-1,2.287448488E-1,1.391092365E0,6.303795487E-1,1.544292896E0
5.382122917E-1,-6.130444546E-1,2.204558176E-1,2.413014337E0,2.499412424E0
5.482592916E-1,-1.807830149E0,6.873986721E-3,3.358076999E0,3.813787911E0
5.583052916E-1,-1.700688693E0,6.283488107E-1,3.442726555E0,3.890954946E0
5.683512916E-1,-4.751659401E-1,1.030223849E0,1.858539249E0,2.177455394E0
5.783982917E-1,2.571561955E-1,1.758333760E0,4.621966696E-1,1.836162488E0
5.884442917E-1,3.646027300E-1,1.500936404E0,-6.669076896E-1,1.682412288E0
5.984902916E-1,3.074937056E-1,9.388932645E-1,-3.965990961E-2,9.887597532E-1
6.085372916E-1,6.545164163E-1,1.056279042E0,1.961233021E0,2.321756257E0
6.185832917E-1,9.835785636E-1,5.357178050E-1,2.568735631E0,2.802288903E0
6.286292917E-1,9.091133221E-1,3.053263986E-1,2.833102576E0,2.991016792E0
6.386762916E-1,1.043061119E0,1.336917327E0,1.813972941E0,2.483107382E0
6.487222916E-1,9.783880634E-1,1.538142237E0,9.459964621E-1,2.053785298E0
6.587682916E-1,-7.081599422E-2,8.202579367E-1,8.552859744E-1,1.187161356E0
6.688152917E-1,-9.746196060E-1,1.982381523E-2,1.318797098E0,1.639970166E0
6.788612917E-1,-7.047272611E-1,-5.110402161E-1,1.740832167E0,1.946355376E0
6.889072916E-1,3.159253541E-1,-3.170605910E-1,6.854671906E-1,8.186583641E-1
6.989542916E-1,1.137102400E0,3.271686727E-1,-1.035287100E0,1.572215185E0
7.090002917E-1,1.434219381E0,3.225686681E-1,-8.221753849E-1,1.684342050E0
7.190462917E-1,1.677499805E0,2.947072703E-1,-2.612360537E-1,1.723108309E0
7.290932916E-1,1.834454276E0,3.950402284E-1,-3.095179752E-2,1.876762448E0
7.391392916E-1,1.630220681E0,1.570012486E-1,-2.762851057E-1,1.660904067E0
7.491852916E-1,7.654580509E-1,-3.593488240E-1,-7.504054175E-1,1.130559992E0
7.592322917E-1,-3.393390673E-1,-7.241010600E-1,-1.235425451E0,1.471648529E0
7.692782917E-1,-1.708204850E-1,-1.100696831E0,-9.690735950E-1,1.476420260E0
7.793242916E-1,2.054131975E-1,-1.014669086E0,-7.263936802E-1,1.264672177E0
7.893712916E-1,2.308188379E-1,-1.055985512E0,-1.348356235E-1,1.089294902E0
7.994170833E-1,2.386796153E-1,-1.120516554E0,-2.877467448E-1,1.181238119E0
8.094630833E-1,4.139741705E-1,-1.210969471E0,-7.295560006E-1,1.473116978E0
8.195100833E-1,5.140203226E-1,-1.249019058E0,-7.790742427E-1,1.559237690E0
8.295560833E-1,2.909695838E-1,-1.144848572E0,-5.912102205E-1,1.320935682E0
8.396030833E-1,-1.992142718E-1,-1.084199497E0,-4.543543839E-1,1.192314045E0
8.496490833E-1,-6.285540479E-1,-1.009939274E0,9.329223437E-3,1.189598488E0
8.596950833E-1,-4.968656152E-1,-8.039827967E-1,1.929581165E-1,9.646225229E-1
8.697420833E-1,6.272026833E-2,-6.219227207E-1,-1.524287260E-1,6.433942952E-1
8.797880833E-1,2.969693387E-1,-6.248293716E-1,-3.007328260E-1,7.543492324E-1
8.898340833E-1,3.690128097E-1,-5.391957289E-1,-3.565222800E-1,7.443188993E-1
8.998810833E-1,5.143057398E-1,-4.915140241E-1,-2.904253360E-1,7.684030881E-1
9.099270833E-1,5.540435636E-1,-5.544248021E-1,-3.129347956E-1,8.439664198E-1
9.199730833E-1,6.417510675E-1,-6.523358434E-1,-2.878537488E-1,9.592946711E-1
9.300200833E-1,6.005230443E-1,-7.290799642E-1,-3.612725580E-1,1.011287982E0
9.400660833E-1,1.729958685E-1,-5.118968332E-1,-6.374961948E-1,8.356837540E-1
9.501120833E-1,-2.474660618E-1,-6.198726869E-1,-2.861510031E-1,7.261983174E-1
9.601590833E-1,-2.929998102E-1,-5.825844079E-1,-2.651536882E-1,7.039601974E-1
9.702050833E-1,-1.671936581E-1,-5.225516295E-1,-4.372348694E-1,7.015612987E-1
9.802510833E-1,-9.682927907E-2,-6.412705725E-1,1.914004548E-1,6.761937523E-1
9.902980833E-1,-1.131300464E-1,-5.429636747E-1,1.155866261E-1,5.665405789E-1
1.000344083E0,-2.526639442E-1,-6.096616942E-1,2.263070897E-1,6.976685093E-1
1.010390083E0,-2.180956438E-1,-4.753821409E-1,-7.186264582E-3,5.230731613E-1
1.020437083E0,-1.351543150E-1,-3.042534345E-1,-2.407216458E-1,4.108329977E-1
1.030483083E0,-1.183184087E-1,-2.997709590E-1,-1.962279526E-1,3.773158930E-1
1.040529083E0,-2.011228396E-1,-2.797179329E-1,-4.166293911E-1,5.406223896E-1
1.050576083E0,-5.854726036E-1,-4.297832143E-1,-1.817081467E-1,7.486719117E-1
1.060622083E0,-7.164460315E-1,-2.639187562E-1,-5.054204571E-1,9.156406852E-1
1.070668083E0,-3.466779443E-1,1.561621732E-1,-1.636130462E0,1.679730666E0
1.080715083E0,-4.352665139E-1,-7.935344070E-1,-9.652829182E-1,1.323225191E0
1.090761083E0,-7.483648854E-1,-8.806871563E-1,3.265424724E-1,1.200953727E0
1.100807083E0,-6.515466886E-1,-3.015596223E-1,8.667596734E-1,1.125488172E0
1.110854083E0,-5.746582878E-1,-2.840343475E-1,3.370592380E-1,7.242351747E-1
1.120900083E0,-4.655792107E-1,-2.562033552E-1,-6.514254320E-1,8.406897490E-1
1.130946083E0,-3.695235640E-1,-3.238486236E-1,-5.123634410E-1,7.098886469E-1
1.140993083E0,-4.132930429E-1,-4.618195242E-1,-1.137751222E0,1.295594942E0
1.151039083E0,-4.978396882E-1,-5.194906121E-1,-1.187915654E0,1.388833486E0
1.161086083E0,-1.552657036E-1,-3.829335684E-1,-5.621840938E-1,6.977080419E-1
1.171132083E0,3.235113124E-1,-4.570300698E-2,-1.200197658E-2,3.269440037E-1
1.181178083E0,5.995676092E-1,2.322297710E-1,6.994895446E-1,9.501039983E-1
1.191225083E0,4.800445645E-1,3.246491075E-1,8.860893989E-1,1.058770159E0
1.201271083E0,6.692699281E-2,1.843942845E-1,5.419702327E-1,5.763785281E-1
1.211317083E0,-3.588719836E-1,-9.707138121E-2,1.769133568E-1,4.117162730E-1
1.221364083E0,-6.908387353E-1,-2.525067455E-1,-9.481609186E-2,7.416251788E-1
1.231410083E0,-7.155855406E-1,-2.716195393E-1,-3.111057866E-1,8.262122309E-1
1.241456083E0,-4.234915007E-1,-1.763730741E-1,-2.019897258E-1,5.012507972E-1
1.251503083E0,-1.426506922E-1,-6.385159492E-2,4.039274845E-3,1.563411715E-1
1.261549083E0,1.064259395E-1,-4.978319407E-3,1.396326884E-1,1.756375584E-1
1.271595083E0,2.858383232E-1,5.413469195E-2,3.190275943E-1,4.317553912E-1
1.281642083E0,4.484085331E-1,2.973010951E-1,5.865985215E-1,7.959622975E-1
1.291688083E0,4.773241108E-1,4.559623682E-1,8.465095961E-1,1.073460984E0
1.301734083E0,3.509842724E-1,6.070275235E-1,8.429416251E-1,1.096459282E0
1.311781083E0,1.731274674E-1,6.175519270E-1,5.835205472E-1,8.670869226E-1
1.321827083E0,4.724205810E-2,4.832004529E-1,3.621987569E-1,6.057247141E-1
1.331873083E0,2.594136410E-2,4.341961080E-1,2.791437364E-1,5.168369570E-1
1.341920083E0,-6.380829812E-2,2.952463835E-1,6.394632895E-2,3.087572815E-1
1.351966083E0,-1.383907032E-1,6.706990242E-2,-1.146042573E-1,1.917928423E-1
1.362012083E0,-2.279079112E-1,-2.357421935E-2,-1.813198185E-1,2.921893845E-1
1.372059083E0,-3.201841736E-1,-5.796637237E-2,-3.341543412E-1,4.664087575E-1
1.382105083E0,-3.383047680E-1,-9.882437646E-2,-4.038730323E-1,5.360315286E-1
1.392151083E0,-2.642732072E-1,-1.194820046E-1,-1.957519344E-1,3.499072696E-1
1.402198083E0,-1.022917571E-1,-3.504762590E-2,-1.207064299E-1,1.620554901E-1
1.412244083E0,9.226632211E-2,4.476628304E-2,-3.877171755E-2,1.096373129E-1
1.422290083E0,1.982112185E-1,1.364523786E-1,4.970016360E-2,2.457174089E-1
1.432337083E0,1.801103768E-1,1.091909051E-1,-3.818231821E-2,2.140567471E-1
1.442383083E0,1.551713807E-1,2.388178289E-2,-8.614584049E-2,1.790798782E-1
1.452429083E0,1.596290239E-1,-7.056887627E-2,-2.087210405E-1,2.720769455E-1
1.462476083E0,1.262122229E-1,-1.572936094E-1,-2.736801163E-1,3.399582487E-1
1.472522083E0,1.521167770E-1,-1.550436008E-1,-1.690827656E-1,2.752580855E-1
1.482568083E0,1.307407453E-1,-4.506858408E-2,8.563713273E-2,1.626592704E-1
1.492615083E0,1.776572140E-1,-3.525286317E-3,1.806426927E-1,2.533896125E-1
1.502661083E0,1.331916697E-1,3.439916968E-3,1.195240863E-1,1.789912319E-1
1.512708083E0,1.606739030E-1,5.744830906E-2,6.957720676E-2,1.842753348E-1
1.522754083E0,1.575207920E-1,9.264270008E-2,1.306782532E-1,2.246603562E-1
1.532800083E0,1.729921774E-1,1.117338592E-1,1.508102167E-1,2.552537369E-1
1.542847083E0,1.260191461E-1,7.966948271E-2,1.446600787E-1,2.077368287E-1
1.552893083E0,9.316293782E-2,9.580312014E-2,1.697598732E-1,2.160462574E-1
1.562939083E0,5.643048698E-2,1.113227999E-1,1.703901847E-1,2.112107495E-1
1.572986083E0,-5.000494058E-2,3.613579273E-2,1.484643320E-1,1.607729687E-1
